 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1  0.983   0.00   99.96   -2.93  274.24   23.80
 2016   2  0.983   0.00  100.98   -3.05  261.06   24.81
 2016   3  0.983   0.00  102.00   -3.17  247.95   25.83
 2016   4  0.983   0.00  103.02   -3.28  234.78   26.84
 2016   5  0.983   0.00  104.04   -3.40  221.61   27.86
 2016   6  0.983   0.00  105.06   -3.51  208.43   28.87
 2016   7  0.983   0.00  106.08   -3.62  195.26   29.89
 2016   8  0.983   0.00  107.10   -3.73  182.09   30.90
 2016   9  0.983   0.00  108.12   -3.84  168.92   31.92
 2016  10  0.983   0.00  109.14   -3.95  155.75   32.93
 2016  11  0.983   0.00  110.16   -4.06  142.57   33.95
 2016  12  0.983   0.00  111.17   -4.16  129.40   34.97
 2016  13  0.983   0.00  112.19   -4.27  116.23   35.98
 2016  14  0.984   0.00  113.21   -4.37  103.06   37.00
 2016  15  0.984   0.00  114.23   -4.47   89.89   38.01
 2016  16  0.984   0.00  115.25   -4.57   76.72   39.03
 2016  17  0.984   0.00  116.27   -4.67   63.55   40.05
 2016  18  0.984   0.00  117.29   -4.77   50.38   41.07
 2016  19  0.984   0.00  118.30   -4.87   37.21   42.08
 2016  20  0.984   0.00  119.32   -4.96   24.04   43.10
 2016  21  0.984   0.00  120.34   -5.05   10.87   44.12
 2016  22  0.984   0.00  121.36   -5.14  357.70   45.13
 2016  23  0.984   0.00  122.38   -5.23  344.59   46.15
 2016  24  0.984   0.00  123.39   -5.32  331.42   47.17
 2016  25  0.984   0.00  124.41   -5.41  318.25   48.19
 2016  26  0.984   0.00  125.43   -5.49  305.08   49.21
 2016  27  0.985   0.00  126.44   -5.58  291.91   50.22
 2016  28  0.985   0.00  127.46   -5.66  278.74   51.24
 2016  29  0.985   0.00  128.48   -5.74  265.57   52.26
 2016  30  0.985   0.00  129.49   -5.81  252.40   53.28
 2016  31  0.985   0.00  130.51   -5.89  239.23   54.30
 2016  32  0.985   0.00  131.52   -5.96  226.06   55.31
 2016  33  0.985   0.00  132.54   -6.03  212.90   56.33
 2016  34  0.986   0.00  133.55   -6.10  199.73   57.35
 2016  35  0.986   0.00  134.57   -6.17  186.56   58.37
 2016  36  0.986   0.00  135.58   -6.24  173.39   59.39
 2016  37  0.986   0.00  136.60   -6.30  160.22   60.41
 2016  38  0.986   0.00  137.61   -6.36  147.05   61.42
 2016  39  0.986   0.00  138.62   -6.42  133.88   62.44
 2016  40  0.986   0.00  139.64   -6.48  120.71   63.46
 2016  41  0.987   0.00  140.65   -6.54  107.54   64.48
 2016  42  0.987   0.00  141.66   -6.59   94.37   65.49
 2016  43  0.987   0.00  142.67   -6.64   81.26   66.51
 2016  44  0.987   0.00  143.68   -6.69   68.09   67.53
 2016  45  0.987   0.00  144.69   -6.74   54.92   68.54
 2016  46  0.988   0.00  145.71   -6.79   41.75   69.56
 2016  47  0.988   0.00  146.72   -6.83   28.58   70.58
 2016  48  0.988   0.00  147.73   -6.87   15.41   71.59
 2016  49  0.988   0.00  148.73   -6.91    2.24   72.61
