 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1  9.997   1.75  249.16    0.87   63.44  173.00
 2016   2  9.997   1.75  249.19    0.88   49.28  173.03
 2016   3  9.997   1.74  249.22    0.88   35.18  173.06
 2016   4  9.997   1.74  249.25    0.88   21.03  173.09
 2016   5  9.998   1.74  249.28    0.88    6.87  173.12
 2016   6  9.998   1.74  249.31    0.89  352.71  173.15
 2016   7  9.998   1.74  249.34    0.89  338.56  173.18
 2016   8  9.998   1.74  249.37    0.89  324.40  173.21
 2016   9  9.998   1.74  249.40    0.90  310.24  173.24
 2016  10  9.998   1.74  249.43    0.90  296.08  173.27
 2016  11  9.998   1.74  249.46    0.90  281.93  173.30
 2016  12  9.998   1.74  249.49    0.90  267.77  173.33
 2016  13  9.999   1.73  249.52    0.91  253.61  173.36
 2016  14  9.999   1.73  249.55    0.91  239.45  173.39
 2016  15  9.999   1.73  249.58    0.91  225.30  173.42
 2016  16  9.999   1.73  249.61    0.92  211.14  173.45
 2016  17  9.999   1.73  249.64    0.92  196.98  173.48
 2016  18  9.999   1.73  249.67    0.92  182.83  173.51
 2016  19  9.999   1.73  249.70    0.92  168.67  173.54
 2016  20  9.999   1.73  249.73    0.93  154.51  173.57
 2016  21  9.999   1.73  249.76    0.93  140.35  173.60
 2016  22 10.000   1.73  249.79    0.93  126.20  173.63
 2016  23 10.000   1.73  249.82    0.94  112.10  173.66
 2016  24 10.000   1.72  249.85    0.94   97.94  173.69
 2016  25 10.000   1.72  249.88    0.94   83.79  173.72
 2016  26 10.000   1.72  249.92    0.94   69.63  173.75
 2016  27 10.000   1.72  249.95    0.95   55.47  173.78
 2016  28 10.000   1.72  249.98    0.95   41.31  173.81
 2016  29 10.000   1.72  250.01    0.95   27.16  173.84
 2016  30 10.001   1.72  250.04    0.96   13.00  173.88
 2016  31 10.001   1.72  250.07    0.96  358.84  173.91
 2016  32 10.001   1.72  250.10    0.96  344.69  173.94
 2016  33 10.001   1.72  250.13    0.96  330.53  173.97
 2016  34 10.001   1.71  250.16    0.97  316.37  174.00
 2016  35 10.001   1.71  250.19    0.97  302.21  174.03
 2016  36 10.001   1.71  250.22    0.97  288.06  174.06
 2016  37 10.001   1.71  250.25    0.98  273.90  174.09
 2016  38 10.001   1.71  250.28    0.98  259.74  174.12
 2016  39 10.002   1.71  250.31    0.98  245.58  174.15
 2016  40 10.002   1.71  250.34    0.98  231.43  174.18
 2016  41 10.002   1.71  250.37    0.99  217.27  174.21
 2016  42 10.002   1.71  250.40    0.99  203.11  174.24
 2016  43 10.002   1.71  250.43    0.99  189.02  174.27
 2016  44 10.002   1.71  250.46    1.00  174.86  174.30
 2016  45 10.002   1.70  250.49    1.00  160.70  174.33
 2016  46 10.002   1.70  250.52    1.00  146.55  174.36
 2016  47 10.002   1.70  250.55    1.00  132.39  174.39
 2016  48 10.003   1.70  250.58    1.01  118.23  174.42
 2016  49 10.003   1.70  250.61    1.01  104.07  174.45
 2016  50 10.003   1.70  250.64    1.01   89.92  174.48
 2016  51 10.003   1.70  250.67    1.02   75.76  174.51
 2016  52 10.003   1.70  250.70    1.02   61.60  174.54
 2016  53 10.003   1.70  250.73    1.02   47.44  174.57
 2016  54 10.003   1.70  250.77    1.02   33.29  174.60
 2016  55 10.003   1.69  250.80    1.03   19.13  174.63
 2016  56 10.003   1.69  250.83    1.03    4.97  174.66
 2016  57 10.004   1.69  250.86    1.03  350.82  174.69
 2016  58 10.004   1.69  250.89    1.04  336.66  174.72
 2016  59 10.004   1.69  250.92    1.04  322.50  174.75
 2016  60 10.004   1.69  250.95    1.04  308.34  174.78
 2016  61 10.004   1.69  250.98    1.04  294.19  174.81
 2016  62 10.004   1.69  251.01    1.05  280.03  174.84
 2016  63 10.004   1.69  251.04    1.05  265.93  174.87
 2016  64 10.004   1.69  251.07    1.05  251.78  174.90
 2016  65 10.004   1.69  251.10    1.06  237.62  174.93
 2016  66 10.005   1.68  251.13    1.06  223.46  174.96
 2016  67 10.005   1.68  251.16    1.06  209.30  174.99
 2016  68 10.005   1.68  251.19    1.06  195.15  175.02
 2016  69 10.005   1.68  251.22    1.07  180.99  175.05
 2016  70 10.005   1.68  251.25    1.07  166.83  175.08
 2016  71 10.005   1.68  251.28    1.07  152.68  175.11
 2016  72 10.005   1.68  251.31    1.08  138.52  175.14
 2016  73 10.005   1.68  251.34    1.08  124.36  175.17
 2016  74 10.005   1.68  251.37    1.08  110.20  175.20
 2016  75 10.006   1.68  251.40    1.08   96.05  175.23
 2016  76 10.006   1.67  251.43    1.09   81.89  175.26
 2016  77 10.006   1.67  251.46    1.09   67.73  175.29
 2016  78 10.006   1.67  251.49    1.09   53.57  175.32
 2016  79 10.006   1.67  251.52    1.10   39.42  175.35
 2016  80 10.006   1.67  251.55    1.10   25.26  175.38
 2016  81 10.006   1.67  251.58    1.10   11.10  175.41
 2016  82 10.006   1.67  251.61    1.10  356.94  175.44
 2016  83 10.006   1.67  251.65    1.11  342.85  175.47
 2016  84 10.007   1.67  251.68    1.11  328.69  175.51
 2016  85 10.007   1.67  251.71    1.11  314.54  175.54
 2016  86 10.007   1.66  251.74    1.12  300.38  175.57
 2016  87 10.007   1.66  251.77    1.12  286.22  175.60
 2016  88 10.007   1.66  251.80    1.12  272.06  175.63
 2016  89 10.007   1.66  251.83    1.12  257.91  175.66
 2016  90 10.007   1.66  251.86    1.13  243.75  175.69
 2016  91 10.007   1.66  251.89    1.13  229.59  175.72
 2016  92 10.007   1.66  251.92    1.13  215.43  175.75
 2016  93 10.008   1.66  251.95    1.14  201.28  175.78
 2016  94 10.008   1.66  251.98    1.14  187.12  175.81
 2016  95 10.008   1.66  252.01    1.14  172.96  175.84
 2016  96 10.008   1.65  252.04    1.14  158.80  175.87
 2016  97 10.008   1.65  252.07    1.15  144.65  175.90
 2016  98 10.008   1.65  252.10    1.15  130.49  175.93
 2016  99 10.008   1.65  252.13    1.15  116.33  175.96
 2016 100 10.008   1.65  252.16    1.15  102.18  175.99
 2016 101 10.008   1.65  252.19    1.16   88.02  176.02
 2016 102 10.008   1.65  252.22    1.16   73.86  176.05
