 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1 29.899  -0.81  339.34    6.38  153.75  263.31
 2016   2 29.899  -0.81  339.35    6.38  139.57  263.32
 2016   3 29.899  -0.81  339.36    6.38  125.45  263.32
 2016   4 29.899  -0.81  339.36    6.38  111.27  263.33
 2016   5 29.899  -0.81  339.37    6.38   97.09  263.34
 2016   6 29.899  -0.81  339.37    6.38   82.90  263.34
 2016   7 29.899  -0.81  339.38    6.38   68.72  263.35
 2016   8 29.899  -0.81  339.39    6.38   54.54  263.35
 2016   9 29.899  -0.81  339.39    6.38   40.36  263.36
 2016  10 29.899  -0.81  339.40    6.38   26.18  263.37
 2016  11 29.899  -0.81  339.40    6.38   12.00  263.37
 2016  12 29.899  -0.81  339.41    6.38  357.82  263.38
 2016  13 29.899  -0.81  339.42    6.38  343.63  263.38
 2016  14 29.899  -0.81  339.42    6.38  329.45  263.39
 2016  15 29.899  -0.81  339.43    6.38  315.27  263.40
 2016  16 29.899  -0.81  339.44    6.38  301.09  263.40
 2016  17 29.899  -0.81  339.44    6.38  286.91  263.41
 2016  18 29.899  -0.81  339.45    6.38  272.73  263.41
 2016  19 29.899  -0.81  339.45    6.38  258.55  263.42
 2016  20 29.899  -0.81  339.46    6.38  244.36  263.43
 2016  21 29.899  -0.81  339.47    6.38  230.18  263.43
 2016  22 29.899  -0.81  339.47    6.38  216.00  263.44
 2016  23 29.899  -0.81  339.48    6.38  201.88  263.44
 2016  24 29.899  -0.81  339.48    6.38  187.70  263.45
 2016  25 29.899  -0.81  339.49    6.38  173.52  263.46
 2016  26 29.899  -0.81  339.50    6.38  159.34  263.46
 2016  27 29.899  -0.81  339.50    6.38  145.16  263.47
 2016  28 29.899  -0.81  339.51    6.38  130.98  263.48
 2016  29 29.899  -0.81  339.51    6.38  116.79  263.48
 2016  30 29.899  -0.81  339.52    6.38  102.61  263.49
 2016  31 29.899  -0.81  339.53    6.38   88.43  263.49
 2016  32 29.899  -0.81  339.53    6.38   74.25  263.50
 2016  33 29.899  -0.81  339.54    6.38   60.07  263.51
 2016  34 29.898  -0.81  339.55    6.38   45.89  263.51
 2016  35 29.898  -0.81  339.55    6.38   31.71  263.52
 2016  36 29.898  -0.81  339.56    6.38   17.52  263.52
 2016  37 29.898  -0.81  339.56    6.38    3.34  263.53
 2016  38 29.898  -0.81  339.57    6.38  349.16  263.54
 2016  39 29.898  -0.81  339.58    6.38  334.98  263.54
 2016  40 29.898  -0.81  339.58    6.38  320.80  263.55
 2016  41 29.898  -0.81  339.59    6.38  306.62  263.55
 2016  42 29.898  -0.81  339.59    6.38  292.44  263.56
 2016  43 29.898  -0.81  339.60    6.38  278.32  263.57
 2016  44 29.898  -0.81  339.61    6.38  264.14  263.57
 2016  45 29.898  -0.81  339.61    6.38  249.95  263.58
 2016  46 29.898  -0.82  339.62    6.38  235.77  263.58
 2016  47 29.898  -0.82  339.62    6.38  221.59  263.59
 2016  48 29.898  -0.82  339.63    6.38  207.41  263.60
 2016  49 29.898  -0.82  339.64    6.38  193.23  263.60
 2016  50 29.898  -0.82  339.64    6.38  179.05  263.61
 2016  51 29.898  -0.82  339.65    6.38  164.87  263.62
 2016  52 29.898  -0.82  339.65    6.38  150.68  263.62
 2016  53 29.898  -0.82  339.66    6.38  136.50  263.63
 2016  54 29.898  -0.82  339.67    6.38  122.32  263.63
 2016  55 29.898  -0.82  339.67    6.38  108.14  263.64
 2016  56 29.898  -0.82  339.68    6.38   93.96  263.65
 2016  57 29.898  -0.82  339.69    6.38   79.78  263.65
 2016  58 29.898  -0.82  339.69    6.38   65.60  263.66
 2016  59 29.898  -0.82  339.70    6.38   51.41  263.66
 2016  60 29.898  -0.82  339.70    6.38   37.23  263.67
 2016  61 29.898  -0.82  339.71    6.38   23.05  263.68
 2016  62 29.898  -0.82  339.72    6.38    8.87  263.68
 2016  63 29.898  -0.82  339.72    6.38  354.75  263.69
 2016  64 29.898  -0.82  339.73    6.38  340.57  263.69
 2016  65 29.898  -0.82  339.73    6.38  326.39  263.70
 2016  66 29.898  -0.82  339.74    6.38  312.21  263.71
 2016  67 29.897  -0.82  339.75    6.38  298.03  263.71
 2016  68 29.897  -0.82  339.75    6.38  283.84  263.72
 2016  69 29.897  -0.82  339.76    6.38  269.66  263.72
 2016  70 29.897  -0.82  339.76    6.38  255.48  263.73
 2016  71 29.897  -0.82  339.77    6.38  241.30  263.74
 2016  72 29.897  -0.82  339.78    6.38  227.12  263.74
 2016  73 29.897  -0.82  339.78    6.38  212.94  263.75
 2016  74 29.897  -0.82  339.79    6.38  198.76  263.76
 2016  75 29.897  -0.82  339.79    6.38  184.57  263.76
 2016  76 29.897  -0.82  339.80    6.38  170.39  263.77
 2016  77 29.897  -0.82  339.81    6.38  156.21  263.77
 2016  78 29.897  -0.82  339.81    6.38  142.03  263.78
 2016  79 29.897  -0.82  339.82    6.38  127.85  263.79
 2016  80 29.897  -0.82  339.83    6.38  113.67  263.79
 2016  81 29.897  -0.82  339.83    6.38   99.49  263.80
 2016  82 29.897  -0.82  339.84    6.38   85.30  263.80
 2016  83 29.897  -0.82  339.84    6.38   71.19  263.81
 2016  84 29.897  -0.82  339.85    6.38   57.00  263.82
 2016  85 29.897  -0.82  339.86    6.38   42.82  263.82
 2016  86 29.897  -0.82  339.86    6.38   28.64  263.83
 2016  87 29.897  -0.82  339.87    6.38   14.46  263.83
 2016  88 29.897  -0.82  339.87    6.38    0.28  263.84
 2016  89 29.897  -0.82  339.88    6.37  346.10  263.85
 2016  90 29.897  -0.82  339.89    6.37  331.92  263.85
 2016  91 29.897  -0.82  339.89    6.37  317.73  263.86
 2016  92 29.897  -0.82  339.90    6.37  303.55  263.86
 2016  93 29.897  -0.82  339.90    6.37  289.37  263.87
 2016  94 29.897  -0.82  339.91    6.37  275.19  263.88
 2016  95 29.897  -0.82  339.92    6.37  261.01  263.88
 2016  96 29.897  -0.82  339.92    6.37  246.83  263.89
 2016  97 29.897  -0.82  339.93    6.37  232.65  263.90
 2016  98 29.897  -0.82  339.93    6.37  218.46  263.90
 2016  99 29.897  -0.82  339.94    6.37  204.28  263.91
 2016 100 29.896  -0.82  339.95    6.37  190.10  263.91
 2016 101 29.896  -0.82  339.95    6.37  175.92  263.92
 2016 102 29.896  -0.82  339.96    6.37  161.74  263.93
 2016 103 29.896  -0.82  339.97    6.37  147.62  263.93
 2016 104 29.896  -0.82  339.97    6.37  133.44  263.94
 2016 105 29.896  -0.82  339.98    6.37  119.26  263.94
 2016 106 29.896  -0.83  339.98    6.37  105.08  263.95
 2016 107 29.896  -0.83  339.99    6.37   90.89  263.96
 2016 108 29.896  -0.83  340.00    6.37   76.71  263.96
 2016 109 29.896  -0.83  340.00    6.37   62.53  263.97
 2016 110 29.896  -0.83  340.01    6.37   48.35  263.97
 2016 111 29.896  -0.83  340.01    6.37   34.17  263.98
 2016 112 29.896  -0.83  340.02    6.37   19.99  263.99
 2016 113 29.896  -0.83  340.03    6.37    5.81  263.99
 2016 114 29.896  -0.83  340.03    6.37  351.62  264.00
 2016 115 29.896  -0.83  340.04    6.37  337.44  264.01
 2016 116 29.896  -0.83  340.04    6.37  323.26  264.01
 2016 117 29.896  -0.83  340.05    6.37  309.08  264.02
 2016 118 29.896  -0.83  340.06    6.37  294.90  264.02
 2016 119 29.896  -0.83  340.06    6.37  280.72  264.03
 2016 120 29.896  -0.83  340.07    6.37  266.54  264.04
 2016 121 29.896  -0.83  340.07    6.37  252.35  264.04
 2016 122 29.896  -0.83  340.08    6.37  238.17  264.05
 2016 123 29.896  -0.83  340.09    6.37  223.99  264.05
 2016 124 29.896  -0.83  340.09    6.37  209.87  264.06
 2016 125 29.896  -0.83  340.10    6.37  195.69  264.07
 2016 126 29.896  -0.83  340.11    6.37  181.51  264.07
 2016 127 29.896  -0.83  340.11    6.37  167.33  264.08
 2016 128 29.896  -0.83  340.12    6.37  153.15  264.08
 2016 129 29.896  -0.83  340.12    6.37  138.97  264.09
 2016 130 29.896  -0.83  340.13    6.37  124.78  264.10
 2016 131 29.896  -0.83  340.14    6.37  110.60  264.10
 2016 132 29.896  -0.83  340.14    6.37   96.42  264.11
 2016 133 29.895  -0.83  340.15    6.37   82.24  264.11
 2016 134 29.895  -0.83  340.15    6.37   68.06  264.12
 2016 135 29.895  -0.83  340.16    6.37   53.88  264.13
 2016 136 29.895  -0.83  340.17    6.37   39.70  264.13
 2016 137 29.895  -0.83  340.17    6.37   25.51  264.14
 2016 138 29.895  -0.83  340.18    6.37   11.33  264.15
 2016 139 29.895  -0.83  340.18    6.37  357.15  264.15
 2016 140 29.895  -0.83  340.19    6.37  342.97  264.16
 2016 141 29.895  -0.83  340.20    6.37  328.79  264.16
 2016 142 29.895  -0.83  340.20    6.37  314.61  264.17
 2016 143 29.895  -0.83  340.21    6.37  300.43  264.18
 2016 144 29.895  -0.83  340.22    6.37  286.31  264.18
 2016 145 29.895  -0.83  340.22    6.37  272.13  264.19
 2016 146 29.895  -0.83  340.23    6.37  257.94  264.19
 2016 147 29.895  -0.83  340.23    6.37  243.76  264.20
 2016 148 29.895  -0.83  340.24    6.37  229.58  264.21
 2016 149 29.895  -0.83  340.25    6.37  215.40  264.21
 2016 150 29.895  -0.83  340.25    6.37  201.22  264.22
