 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2017   1  0.320   6.52  117.02    1.75  140.41   41.41
 2017   2  0.324   6.75  122.87    1.45  132.03   47.21
 2017   3  0.328   6.90  128.58    1.14  123.51   52.88
 2017   4  0.333   6.99  134.14    0.83  114.84   58.40
 2017   5  0.338   7.00  139.55    0.52  106.01   63.76
 2017   6  0.343   6.96  144.80    0.21   97.02   68.95
 2017   7  0.349   6.87  149.87   -0.09   87.86   73.99
 2017   8  0.354   6.72  154.78   -0.38   78.54   78.85
 2017   9  0.360   6.54  159.53   -0.65   69.06   83.56
 2017  10  0.366   6.32  164.11   -0.91   59.42   88.11
 2017  11  0.372   6.07  168.53   -1.16   49.63   92.51
 2017  12  0.378   5.79  172.80   -1.40   39.70   96.76
 2017  13  0.383   5.49  176.93   -1.61   29.63  100.88
 2017  14  0.389   5.18  180.93   -1.82   19.43  104.87
 2017  15  0.395   4.85  184.81   -2.01    9.12  108.74
 2017  16  0.400   4.51  188.57   -2.18  358.69  112.51
 2017  17  0.405   4.15  192.23   -2.34  348.17  116.17
 2017  18  0.410   3.79  195.79   -2.49  337.56  119.75
 2017  19  0.415   3.43  199.27   -2.63  326.87  123.24
 2017  20  0.420   3.06  202.68   -2.75  316.16  126.66
 2017  21  0.425   2.69  206.01   -2.86  305.32  130.01
 2017  22  0.429   2.31  209.28   -2.96  294.42  133.30
 2017  23  0.434   1.94  212.49   -3.05  283.47  136.53
 2017  24  0.438   1.56  215.64   -3.13  272.46  139.71
 2017  25  0.441   1.19  218.74   -3.19  261.40  142.84
 2017  26  0.445   0.82  221.80   -3.25  250.30  145.92
 2017  27  0.448   0.45  224.81   -3.30  239.15  148.96
 2017  28  0.451   0.08  227.78   -3.33  227.96  151.96
 2017  29  0.454  -0.28  230.71   -3.36  216.73  154.92
 2017  30  0.457  -0.63  233.61   -3.38  205.46  157.84
 2017  31  0.459  -0.98  236.47   -3.39  194.16  160.72
 2017  32  0.461  -1.32  239.30   -3.39  182.83  163.58
 2017  33  0.462  -1.66  242.10   -3.38  171.47  166.41
 2017  34  0.464  -1.99  244.88   -3.37  160.08  169.21
 2017  35  0.465  -2.31  247.64   -3.34  148.68  171.99
 2017  36  0.466  -2.63  250.38   -3.31  137.25  174.75
 2017  37  0.466  -2.93  253.12   -3.28  125.81  177.50
 2017  38  0.467  -3.23  255.84   -3.23  114.37  180.24
 2017  39  0.467  -3.53  258.57   -3.18  102.92  182.98
 2017  40  0.466  -3.81  261.30   -3.12   91.54  185.72
 2017  41  0.466  -4.09  264.03   -3.05   80.10  188.47
 2017  42  0.465  -4.36  266.78   -2.97   68.67  191.23
 2017  43  0.464  -4.62  269.55   -2.89   57.26  194.01
 2017  44  0.463  -4.87  272.35   -2.80   45.87  196.80
 2017  45  0.461  -5.11  275.16   -2.70   34.50  199.62
 2017  46  0.459  -5.34  278.01   -2.60   23.16  202.47
