 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2017   1 19.892  -0.60   23.89    5.11   47.06  308.06
 2017   2 19.892  -0.60   23.90    5.11   32.88  308.07
 2017   3 19.892  -0.60   23.91    5.11   18.71  308.08
 2017   4 19.892  -0.60   23.92    5.11    4.53  308.09
 2017   5 19.891  -0.60   23.93    5.11  350.35  308.10
 2017   6 19.891  -0.60   23.95    5.11  336.18  308.12
 2017   7 19.891  -0.60   23.96    5.11  322.00  308.13
 2017   8 19.891  -0.60   23.97    5.10  307.83  308.14
 2017   9 19.891  -0.60   23.98    5.10  293.65  308.15
 2017  10 19.891  -0.60   23.99    5.10  279.47  308.16
 2017  11 19.891  -0.60   24.00    5.10  265.30  308.17
 2017  12 19.891  -0.60   24.01    5.10  251.12  308.18
 2017  13 19.891  -0.60   24.02    5.10  236.94  308.19
 2017  14 19.890  -0.60   24.03    5.10  222.77  308.20
 2017  15 19.890  -0.60   24.04    5.10  208.59  308.21
 2017  16 19.890  -0.60   24.06    5.10  194.41  308.23
 2017  17 19.890  -0.60   24.07    5.10  180.24  308.24
 2017  18 19.890  -0.60   24.08    5.10  166.06  308.25
 2017  19 19.890  -0.60   24.09    5.10  151.88  308.26
 2017  20 19.890  -0.60   24.10    5.10  137.77  308.27
 2017  21 19.890  -0.60   24.11    5.09  123.59  308.28
 2017  22 19.890  -0.60   24.12    5.09  109.42  308.29
 2017  23 19.890  -0.60   24.13    5.09   95.24  308.30
 2017  24 19.889  -0.60   24.14    5.09   81.06  308.31
 2017  25 19.889  -0.60   24.15    5.09   66.89  308.32
 2017  26 19.889  -0.60   24.17    5.09   52.71  308.33
 2017  27 19.889  -0.60   24.18    5.09   38.53  308.35
 2017  28 19.889  -0.60   24.19    5.09   24.36  308.36
 2017  29 19.889  -0.60   24.20    5.09   10.18  308.37
 2017  30 19.889  -0.60   24.21    5.09  356.00  308.38
 2017  31 19.889  -0.60   24.22    5.09  341.83  308.39
 2017  32 19.889  -0.60   24.23    5.09  327.65  308.40
 2017  33 19.888  -0.60   24.24    5.09  313.47  308.41
 2017  34 19.888  -0.60   24.25    5.08  299.30  308.42
 2017  35 19.888  -0.60   24.26    5.08  285.12  308.43
 2017  36 19.888  -0.60   24.27    5.08  270.94  308.44
 2017  37 19.888  -0.60   24.29    5.08  256.77  308.46
 2017  38 19.888  -0.60   24.30    5.08  242.59  308.47
 2017  39 19.888  -0.60   24.31    5.08  228.41  308.48
 2017  40 19.888  -0.60   24.32    5.08  214.30  308.49
 2017  41 19.888  -0.60   24.33    5.08  200.12  308.50
 2017  42 19.888  -0.60   24.34    5.08  185.95  308.51
 2017  43 19.887  -0.60   24.35    5.08  171.77  308.52
 2017  44 19.887  -0.60   24.36    5.08  157.59  308.53
 2017  45 19.887  -0.59   24.37    5.08  143.42  308.54
 2017  46 19.887  -0.59   24.38    5.08  129.24  308.55
 2017  47 19.887  -0.59   24.40    5.07  115.06  308.56
 2017  48 19.887  -0.59   24.41    5.07  100.89  308.58
 2017  49 19.887  -0.59   24.42    5.07   86.71  308.59
 2017  50 19.887  -0.59   24.43    5.07   72.54  308.60
 2017  51 19.887  -0.59   24.44    5.07   58.36  308.61
 2017  52 19.886  -0.59   24.45    5.07   44.18  308.62
 2017  53 19.886  -0.59   24.46    5.07   30.01  308.63
 2017  54 19.886  -0.59   24.47    5.07   15.83  308.64
 2017  55 19.886  -0.59   24.48    5.07    1.65  308.65
 2017  56 19.886  -0.59   24.49    5.07  347.48  308.66
 2017  57 19.886  -0.59   24.51    5.07  333.30  308.67
 2017  58 19.886  -0.59   24.52    5.07  319.12  308.69
 2017  59 19.886  -0.59   24.53    5.07  304.95  308.70
 2017  60 19.886  -0.59   24.54    5.07  290.83  308.71
 2017  61 19.885  -0.59   24.55    5.06  276.66  308.72
 2017  62 19.885  -0.59   24.56    5.06  262.48  308.73
 2017  63 19.885  -0.59   24.57    5.06  248.30  308.74
 2017  64 19.885  -0.59   24.58    5.06  234.13  308.75
 2017  65 19.885  -0.59   24.59    5.06  219.95  308.76
 2017  66 19.885  -0.59   24.60    5.06  205.77  308.77
 2017  67 19.885  -0.59   24.61    5.06  191.60  308.78
 2017  68 19.885  -0.59   24.63    5.06  177.42  308.79
 2017  69 19.885  -0.59   24.64    5.06  163.24  308.81
 2017  70 19.885  -0.59   24.65    5.06  149.07  308.82
 2017  71 19.884  -0.59   24.66    5.06  134.89  308.83
 2017  72 19.884  -0.59   24.67    5.06  120.71  308.84
 2017  73 19.884  -0.59   24.68    5.06  106.54  308.85
 2017  74 19.884  -0.59   24.69    5.05   92.36  308.86
 2017  75 19.884  -0.59   24.70    5.05   78.18  308.87
 2017  76 19.884  -0.59   24.71    5.05   64.01  308.88
 2017  77 19.884  -0.59   24.72    5.05   49.83  308.89
 2017  78 19.884  -0.59   24.74    5.05   35.65  308.90
 2017  79 19.884  -0.59   24.75    5.05   21.48  308.92
 2017  80 19.883  -0.59   24.76    5.05    7.36  308.93
 2017  81 19.883  -0.59   24.77    5.05  353.19  308.94
 2017  82 19.883  -0.59   24.78    5.05  339.01  308.95
 2017  83 19.883  -0.59   24.79    5.05  324.83  308.96
 2017  84 19.883  -0.59   24.80    5.05  310.66  308.97
 2017  85 19.883  -0.59   24.81    5.05  296.48  308.98
 2017  86 19.883  -0.59   24.82    5.05  282.30  308.99
