 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2018   1  0.727  -1.11  275.83    1.35  161.48  199.79
 2018   2  0.727  -1.19  277.41    1.45  148.87  201.37
 2018   3  0.727  -1.28  278.99    1.55  136.27  202.96
 2018   4  0.728  -1.37  280.57    1.64  123.66  204.54
 2018   5  0.728  -1.45  282.16    1.74  111.06  206.12
 2018   6  0.728  -1.54  283.74    1.83   98.45  207.70
 2018   7  0.728  -1.62  285.32    1.93   85.84  209.28
 2018   8  0.728  -1.70  286.90    2.02   73.24  210.86
 2018   9  0.728  -1.78  288.48    2.11   60.63  212.44
 2018  10  0.728  -1.86  290.06    2.19   48.02  214.02
 2018  11  0.728  -1.94  291.64    2.28   35.42  215.61
 2018  12  0.728  -2.01  293.23    2.36   22.81  217.19
 2018  13  0.728  -2.09  294.81    2.45   10.20  218.77
 2018  14  0.728  -2.16  296.39    2.53  357.60  220.35
 2018  15  0.728  -2.23  297.97    2.61  344.99  221.93
 2018  16  0.728  -2.30  299.55    2.68  332.38  223.51
 2018  17  0.728  -2.37  301.13    2.76  319.84  225.09
 2018  18  0.728  -2.44  302.71    2.83  307.23  226.67
 2018  19  0.728  -2.50  304.29    2.90  294.63  228.25
 2018  20  0.728  -2.56  305.87    2.97  282.02  229.83
 2018  21  0.728  -2.62  307.45    3.04  269.42  231.42
 2018  22  0.728  -2.68  309.03    3.10  256.81  233.00
 2018  23  0.728  -2.74  310.62    3.16  244.20  234.58
 2018  24  0.728  -2.79  312.20    3.22  231.60  236.16
 2018  25  0.728  -2.85  313.78    3.28  218.99  237.74
 2018  26  0.728  -2.90  315.36    3.33  206.39  239.33
 2018  27  0.728  -2.94  316.94    3.38  193.78  240.91
 2018  28  0.728  -2.99  318.53    3.43  181.18  242.49
 2018  29  0.728  -3.03  320.11    3.48  168.57  244.07
 2018  30  0.728  -3.07  321.69    3.52  155.97  245.66
 2018  31  0.728  -3.11  323.27    3.56  143.37  247.24
 2018  32  0.728  -3.15  324.86    3.60  130.76  248.82
 2018  33  0.728  -3.18  326.44    3.64  118.16  250.41
 2018  34  0.728  -3.21  328.02    3.67  105.55  251.99
 2018  35  0.728  -3.24  329.61    3.70   92.95  253.58
 2018  36  0.728  -3.27  331.19    3.73   80.35  255.16
 2018  37  0.728  -3.29  332.78    3.75   67.81  256.75
 2018  38  0.728  -3.31  334.36    3.77   55.21  258.33
 2018  39  0.728  -3.33  335.94    3.79   42.60  259.92
 2018  40  0.728  -3.35  337.53    3.81   30.00  261.50
 2018  41  0.728  -3.36  339.12    3.82   17.40  263.09
 2018  42  0.728  -3.38  340.70    3.83    4.80  264.68
 2018  43  0.728  -3.38  342.29    3.84  352.20  266.26
 2018  44  0.727  -3.39  343.87    3.84  339.60  267.85
 2018  45  0.727  -3.39  345.46    3.84  327.00  269.44
 2018  46  0.727  -3.39  347.05    3.84  314.40  271.03
 2018  47  0.727  -3.39  348.64    3.84  301.80  272.61
 2018  48  0.727  -3.39  350.22    3.83  289.20  274.20
 2018  49  0.727  -3.38  351.81    3.82  276.60  275.79
 2018  50  0.727  -3.37  353.40    3.81  264.01  277.38
 2018  51  0.727  -3.36  354.99    3.79  251.41  278.97
 2018  52  0.727  -3.35  356.58    3.77  238.81  280.56
 2018  53  0.727  -3.33  358.17    3.75  226.21  282.15
 2018  54  0.727  -3.31  359.76    3.72  213.62  283.74
 2018  55  0.727  -3.29    1.35    3.69  201.02  285.33
 2018  56  0.726  -3.26    2.94    3.66  188.42  286.92
 2018  57  0.726  -3.23    4.53    3.63  175.89  288.52
 2018  58  0.726  -3.20    6.12    3.59  163.30  290.11
 2018  59  0.726  -3.17    7.71    3.55  150.70  291.70
 2018  60  0.726  -3.14    9.31    3.51  138.11  293.29
 2018  61  0.726  -3.10   10.90    3.47  125.51  294.89
 2018  62  0.726  -3.06   12.49    3.42  112.92  296.48
 2018  63  0.726  -3.02   14.08    3.37  100.32  298.07
 2018  64  0.725  -2.97   15.68    3.32   87.73  299.67
 2018  65  0.725  -2.93   17.27    3.26   75.14  301.26
 2018  66  0.725  -2.88   18.87    3.20   62.54  302.86
 2018  67  0.725  -2.83   20.46    3.14   49.95  304.45
 2018  68  0.725  -2.77   22.06    3.08   37.36  306.05
 2018  69  0.725  -2.72   23.65    3.02   24.77  307.64
 2018  70  0.725  -2.66   25.25    2.95   12.18  309.24
 2018  71  0.725  -2.60   26.85    2.88  359.59  310.84
 2018  72  0.724  -2.54   28.45    2.81  347.00  312.43
 2018  73  0.724  -2.48   30.04    2.73  334.41  314.03
 2018  74  0.724  -2.41   31.64    2.66  321.82  315.63
 2018  75  0.724  -2.34   33.24    2.58  309.23  317.23
 2018  76  0.724  -2.27   34.84    2.50  296.64  318.83
 2018  77  0.724  -2.20   36.44    2.41  284.05  320.43
 2018  78  0.724  -2.13   38.04    2.33  271.53  322.03
 2018  79  0.724  -2.05   39.64    2.24  258.94  323.63
 2018  80  0.723  -1.98   41.24    2.15  246.35  325.23
 2018  81  0.723  -1.90   42.84    2.06  233.76  326.83
 2018  82  0.723  -1.82   44.44    1.97  221.18  328.43
 2018  83  0.723  -1.74   46.04    1.88  208.59  330.03
 2018  84  0.723  -1.66   47.65    1.79  196.01  331.63
 2018  85  0.723  -1.57   49.25    1.69  183.42  333.23
 2018  86  0.723  -1.49   50.85    1.59  170.84  334.84
 2018  87  0.722  -1.40   52.46    1.49  158.25  336.44
 2018  88  0.722  -1.32   54.06    1.39  145.67  338.04
 2018  89  0.722  -1.23   55.67    1.29  133.09  339.65
 2018  90  0.722  -1.14   57.27    1.19  120.50  341.25
 2018  91  0.722  -1.05   58.88    1.09  107.92  342.86
 2018  92  0.722  -0.96   60.49    0.98   95.34  344.46
 2018  93  0.722  -0.87   62.09    0.88   82.76  346.07
 2018  94  0.721  -0.77   63.70    0.77   70.18  347.68
 2018  95  0.721  -0.68   65.31    0.67   57.60  349.28
 2018  96  0.721  -0.59   66.92    0.56   45.02  350.89
 2018  97  0.721  -0.49   68.53    0.45   32.44  352.50
 2018  98  0.721  -0.40   70.14    0.35   19.92  354.11
 2018  99  0.721  -0.30   71.75    0.24    7.34  355.72
 2018 100  0.721  -0.21   73.36    0.13  354.77  357.33
 2018 101  0.721  -0.11   74.97    0.02  342.19  358.94
 2018 102  0.721  -0.02   76.58   -0.09  329.61    0.55
 2018 103  0.720   0.08   78.19   -0.19  317.03    2.16
 2018 104  0.720   0.18   79.80   -0.30  304.46    3.77
 2018 105  0.720   0.27   81.42   -0.41  291.88    5.38
 2018 106  0.720   0.37   83.03   -0.52  279.31    7.00
 2018 107  0.720   0.46   84.64   -0.62  266.73    8.61
 2018 108  0.720   0.56   86.26   -0.73  254.16   10.22
 2018 109  0.720   0.65   87.87   -0.84  241.59   11.84
