 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2018   1  5.433   1.15  218.64   -3.24  104.42  142.73
 2018   2  5.433   1.15  218.72   -3.23   90.31  142.81
 2018   3  5.432   1.15  218.80   -3.22   76.19  142.88
 2018   4  5.432   1.15  218.87   -3.22   62.08  142.96
 2018   5  5.432   1.15  218.95   -3.21   47.97  143.03
 2018   6  5.432   1.15  219.03   -3.20   33.86  143.11
 2018   7  5.432   1.15  219.10   -3.20   19.75  143.19
 2018   8  5.432   1.15  219.18   -3.19    5.64  143.26
 2018   9  5.432   1.15  219.25   -3.18  351.52  143.34
 2018  10  5.431   1.15  219.33   -3.18  337.41  143.41
 2018  11  5.431   1.15  219.41   -3.17  323.30  143.49
 2018  12  5.431   1.15  219.48   -3.16  309.19  143.57
 2018  13  5.431   1.14  219.56   -3.16  295.08  143.64
 2018  14  5.431   1.14  219.63   -3.15  280.97  143.72
 2018  15  5.431   1.14  219.71   -3.14  266.86  143.79
 2018  16  5.431   1.14  219.79   -3.14  252.74  143.87
 2018  17  5.430   1.14  219.86   -3.13  238.70  143.95
 2018  18  5.430   1.14  219.94   -3.12  224.58  144.02
 2018  19  5.430   1.14  220.02   -3.11  210.47  144.10
 2018  20  5.430   1.14  220.09   -3.11  196.36  144.17
 2018  21  5.430   1.14  220.17   -3.10  182.25  144.25
 2018  22  5.430   1.14  220.24   -3.09  168.14  144.33
 2018  23  5.429   1.14  220.32   -3.09  154.03  144.40
 2018  24  5.429   1.13  220.40   -3.08  139.91  144.48
 2018  25  5.429   1.13  220.47   -3.07  125.80  144.55
 2018  26  5.429   1.13  220.55   -3.07  111.69  144.63
 2018  27  5.429   1.13  220.63   -3.06   97.58  144.71
 2018  28  5.429   1.13  220.70   -3.05   83.47  144.78
 2018  29  5.429   1.13  220.78   -3.04   69.36  144.86
 2018  30  5.428   1.13  220.85   -3.04   55.25  144.93
 2018  31  5.428   1.13  220.93   -3.03   41.13  145.01
 2018  32  5.428   1.13  221.01   -3.02   27.02  145.09
 2018  33  5.428   1.13  221.08   -3.02   12.91  145.16
 2018  34  5.428   1.13  221.16   -3.01  358.80  145.24
 2018  35  5.428   1.13  221.24   -3.00  344.69  145.31
