 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2019   1  1.454  -0.26   41.88    3.80  150.40  326.03
 2019   2  1.455  -0.24   42.45    3.76  136.79  326.60
 2019   3  1.456  -0.22   43.02    3.71  123.17  327.17
 2019   4  1.458  -0.21   43.59    3.67  109.56  327.74
 2019   5  1.459  -0.19   44.16    3.63   95.94  328.31
 2019   6  1.460  -0.17   44.73    3.58   82.32  328.88
 2019   7  1.461  -0.15   45.30    3.54   68.70  329.45
 2019   8  1.462  -0.13   45.86    3.50   55.08  330.01
 2019   9  1.464  -0.12   46.43    3.45   41.45  330.58
 2019  10  1.465  -0.10   46.99    3.41   27.83  331.14
 2019  11  1.466  -0.08   47.56    3.37   14.21  331.71
 2019  12  1.467  -0.06   48.12    3.32    0.58  332.27
 2019  13  1.469  -0.04   48.68    3.28  346.96  332.83
 2019  14  1.470  -0.02   49.24    3.23  333.33  333.39
 2019  15  1.471  -0.01   49.80    3.19  319.76  333.95
 2019  16  1.472   0.01   50.36    3.14  306.13  334.51
 2019  17  1.474   0.03   50.92    3.10  292.50  335.07
 2019  18  1.475   0.05   51.48    3.05  278.87  335.62
 2019  19  1.476   0.07   52.03    3.00  265.24  336.18
 2019  20  1.477   0.08   52.59    2.96  251.61  336.73
 2019  21  1.479   0.10   53.14    2.91  237.97  337.28
 2019  22  1.480   0.12   53.70    2.86  224.34  337.84
 2019  23  1.481   0.14   54.25    2.82  210.70  338.39
 2019  24  1.482   0.15   54.80    2.77  197.06  338.94
 2019  25  1.484   0.17   55.35    2.72  183.43  339.49
 2019  26  1.485   0.19   55.90    2.67  169.79  340.04
 2019  27  1.486   0.21   56.45    2.63  156.15  340.58
 2019  28  1.488   0.23   57.00    2.58  142.50  341.13
 2019  29  1.489   0.24   57.54    2.53  128.86  341.67
 2019  30  1.490   0.26   58.09    2.48  115.22  342.22
 2019  31  1.491   0.28   58.63    2.44  101.57  342.76
 2019  32  1.493   0.30   59.18    2.39   87.93  343.30
 2019  33  1.494   0.31   59.72    2.34   74.28  343.85
 2019  34  1.495   0.33   60.26    2.29   60.64  344.39
 2019  35  1.497   0.35   60.80    2.24   47.05  344.93
 2019  36  1.498   0.36   61.34    2.19   33.40  345.46
 2019  37  1.499   0.38   61.88    2.14   19.75  346.00
 2019  38  1.501   0.40   62.42    2.09    6.10  346.54
 2019  39  1.502   0.41   62.96    2.05  352.45  347.07
 2019  40  1.503   0.43   63.49    2.00  338.80  347.61
 2019  41  1.504   0.45   64.03    1.95  325.14  348.14
 2019  42  1.506   0.47   64.56    1.90  311.49  348.67
 2019  43  1.507   0.48   65.10    1.85  297.83  349.21
 2019  44  1.508   0.50   65.63    1.80  284.17  349.74
 2019  45  1.510   0.51   66.16    1.75  270.52  350.27
 2019  46  1.511   0.53   66.69    1.70  256.86  350.79
 2019  47  1.512   0.55   67.22    1.65  243.20  351.32
 2019  48  1.514   0.56   67.75    1.60  229.54  351.85
 2019  49  1.515   0.58   68.28    1.55  215.87  352.37
 2019  50  1.516   0.60   68.80    1.50  202.21  352.90
 2019  51  1.518   0.61   69.33    1.45  188.55  353.42
 2019  52  1.519   0.63   69.86    1.40  174.88  353.95
 2019  53  1.520   0.64   70.38    1.35  161.22  354.47
 2019  54  1.521   0.66   70.90    1.30  147.55  354.99
 2019  55  1.523   0.68   71.43    1.25  133.95  355.51
 2019  56  1.524   0.69   71.95    1.20  120.28  356.03
